0,1.25,0.7,0.09,5
240,1.25,0.7,0.09,5
480,1.4,0.7,0.09,5
720,1.25,0.7,0.09,5
960,1.55,0.7,0.09,5
1200,1.25,0.7,0.09,5
1440,1.1,0.7,0.09,5
1680,1.25,0.7,0.09,5
1920,0.95,0.7,0.09,5
2160,1.25,0.7,0.09,5
2400,1.25,0.725,0.09,5
2640,1.25,0.7,0.09,5
2880,1.25,0.75,0.09,5
3120,1.25,0.7,0.09,5
3360,1.25,0.675,0.09,5
3600,1.25,0.7,0.09,5
3840,1.25,0.65,0.09,5
4080,1.25,0.7,0.09,5
4320,1.25,0.7,0.13,5
4560,1.25,0.7,0.09,5
4800,1.25,0.7,0.17,5
5040,1.25,0.7,0.09,5
5280,1.25,0.7,0.05,5
5520,1.25,0.7,0.09,5
5760,1.25,0.7,0.01,5
6000,1.25,0.7,0.09,5
6240,1.25,0.7,0.09,7.5
6480,1.25,0.7,0.09,5
6720,1.25,0.7,0.09,10
6960,1.25,0.7,0.09,5
7200,1.25,0.7,0.09,2.5
7440,1.25,0.7,0.09,5
7680,1.25,0.7,0.09,0
7920,1.25,0.7,0.09,5
